,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-12-31,2024-02-01,2.02,1.93,0.09,4.6632
1,2023-09-30,2023-11-02,1.46,1.39,0.07,5.036
2,2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824
3,2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937
4,2022-12-31,2023-02-02,1.88,1.94,-0.06,-3.0928
5,2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748
6,2022-06-30,2022-07-28,1.2,1.16,0.04,3.4483
7,2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937
8,2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111
9,2021-09-30,2021-10-28,1.24,1.24,0,0
10,2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129
11,2021-03-31,2021-04-28,1.4,0.99,0.41,41.4141
12,2020-12-31,2021-01-27,1.68,1.41,0.27,19.1489
13,2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857
14,2020-06-30,2020-07-30,0.65,0.51,0.14,27.451
15,2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857
16,2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491
17,2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423
18,2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736
19,2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847
20,2018-12-31,2019-01-29,1.05,1.04,0.01,0.9615
21,2018-09-30,2018-11-01,0.73,0.7,0.03,4.2857
22,2018-06-30,2018-07-31,0.585,0.545,0.04,7.3394
23,2018-03-31,2018-05-01,0.6825,0.6725,0.01,1.487
24,2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772
25,2017-09-30,2017-11-02,0.5175,0.4675,0.05,10.6952
26,2017-06-30,2017-08-01,0.4175,0.3925,0.025,6.3694
27,2017-03-31,2017-05-02,0.525,0.505,0.02,3.9604
28,2016-12-31,2017-01-31,0.84,0.8025,0.0375,4.6729
29,2016-09-30,2016-10-25,0.4175,0.415,0.0025,0.6024
30,2016-06-30,2016-07-26,0.355,0.345,0.01,2.8986
31,2016-03-31,2016-04-26,0.475,0.5,-0.025,-5
32,2015-12-31,2016-01-26,0.82,0.8075,0.0125,1.548
33,2015-09-30,2015-10-27,0.49,0.47,0.02,4.2553
34,2015-06-30,2015-07-21,0.4625,0.4525,0.01,2.2099
35,2015-03-31,2015-04-27,0.5825,0.54,0.0425,7.8704
36,2014-12-31,2015-01-27,0.765,0.65,0.115,17.6923
37,2014-09-30,2014-10-20,0.355,0.3275,0.0275,8.3969
38,2014-06-30,2014-07-22,0.32,0.3075,0.0125,4.065
39,2014-03-31,2014-04-23,0.415,0.365,0.05,13.6986
40,2013-12-31,2014-01-27,0.5175,0.5025,0.015,2.9851
41,2013-09-30,2013-10-28,0.295,0.285,0.01,3.5088
42,2013-06-30,2013-07-23,0.2675,0.2625,0.005,1.9048
43,2013-03-31,2013-04-23,0.36,0.3575,0.0025,0.6993
44,2012-12-31,2013-01-23,0.4925,0.48,0.0125,2.6042
45,2012-09-30,2012-10-25,0.31,0.3125,-0.0025,-0.8
46,2012-06-30,2012-07-24,0.3325,0.37,-0.0375,-10.1351
47,2012-03-31,2012-04-24,0.44,0.3575,0.0825,23.0769
48,2011-12-31,2012-01-24,0.495,0.3625,0.1325,36.5517
49,2011-09-30,2011-10-18,0.2525,0.265,-0.0125,-4.717
50,2011-06-30,2011-07-19,0.2775,0.2075,0.07,33.7349
51,2011-03-31,2011-04-20,0.2275,0.1925,0.035,18.1818
52,2010-12-31,2011-01-18,0.23,0.1925,0.0375,19.4805
53,2010-09-30,2010-10-18,0.165,0.145,0.02,13.7931
54,2010-06-30,2010-07-20,0.125,0.11,0.015,13.6364
55,2010-03-31,2010-04-20,0.12,0.0875,0.0325,37.1429
56,2009-12-31,2010-01-25,0.13,0.075,0.055,73.3333
57,2009-09-30,2009-10-19,0.065,0.05,0.015,30
58,2009-06-30,2009-07-21,0.0475,0.0425,0.005,11.7647
59,2009-03-31,2009-04-22,0.0475,0.04,0.0075,18.75
60,2008-12-31,2009-01-21,0.0625,0.05,0.0125,25
61,2008-09-30,2008-10-21,0.045,0.04,0.005,12.5
62,2008-06-30,2008-07-21,0.0425,0.0375,0.005,13.3333
63,2008-03-31,2008-04-23,0.0425,0.0375,0.005,13.3333
64,2007-12-31,2008-01-22,0.06,0.06,0,0
65,2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333
66,2007-06-30,2007-07-25,0.03,0.03,0,0
67,2007-03-31,2007-04-25,0.03,0.02,0.01,50
68,2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333
69,2006-09-30,2006-10-18,0.02,0.02,0,0
70,2006-06-30,2006-07-19,0.02,0.02,0,0
71,2006-03-31,2006-04-19,0.02,0.02,0,0
72,2005-12-31,2006-01-18,0.02,0.02,0,0
73,2005-09-30,2005-10-11,0.01,0.01,0,0
74,2005-06-30,2005-07-13,0.01,0.01,0,0
75,2005-03-31,2005-04-13,0.01,0.01,0,0
76,2004-12-31,2005-01-12,0.01,0.01,0,0
77,2004-09-30,2004-10-13,0.02,0.01,0.01,100
78,2004-06-30,2004-07-14,0.01,0.01,0,0
79,2004-03-31,2004-04-14,0.01,0.01,0,0
80,2003-12-31,2004-01-14,0.01,0.01,0,0
81,2003-09-30,2003-10-15,0.01,None,None,None
82,2003-06-30,2003-07-16,0.0009,None,None,None
83,2003-03-31,2003-04-16,0.0007,None,None,None
84,2002-12-31,2003-01-15,-0.0004,None,None,None
85,2002-09-30,2002-10-16,-0.0022,None,None,None
86,2002-06-30,2002-07-16,0.01,0.01,0,0
87,2002-03-31,2002-04-18,0.002,None,None,None
88,2001-12-31,2002-01-16,0.01,0.01,0,0
89,2001-09-30,2001-10-18,0.0034,None,None,None
90,2001-06-30,2001-07-18,0.003,None,None,None
91,2001-03-31,2001-04-18,0.01,None,None,None
92,2000-12-31,2000-12-31,-0.0097,None,None,None
93,2000-09-30,2000-10-18,0.01,0.01,0,0
94,2000-06-30,2000-07-18,0.01,0.01,0,0
95,2000-03-31,2000-04-19,0.01,0.01,0,0
96,1999-12-31,2000-01-19,0.01,0.01,0,0
97,1999-09-30,1999-10-13,0.02,0.02,0,0
98,1999-06-30,1999-07-14,0.01,0.01,0,0
99,1999-03-31,1999-04-14,0.01,0.01,0,0
100,1998-12-31,1999-01-13,0.01,0.01,0,0
101,1998-09-30,1998-10-14,0.01,0.02,-0.01,-50
102,1998-06-30,1998-07-15,0.01,0.01,0,0
103,1998-03-31,1998-04-15,0.01,0.01,0,0
104,1997-12-31,1998-01-14,0.01,0.01,0,0
105,1997-09-30,1997-10-15,-0.0114,None,None,None
106,1997-06-30,1997-07-16,-0.02,-0.02,0,0
107,1997-03-31,1997-04-16,-0.05,-0.04,-0.01,-25
108,1996-12-31,1997-01-15,-0.03,-0.02,-0.01,-50
109,1996-09-30,1996-10-16,0.0018,-0.01,0.0118,118
110,1996-06-30,1996-07-17,-0.02,-0.04,0.02,50
111,1996-03-31,1996-04-17,-0.07,-0.05,-0.02,-40
